Date,Open,High,Low,Close
5/18/2016,100.900002,101.269997,99.440002,100.059998
5/19/2016,99.260002,100.080002,98.519997,99.849998
5/20/2016,100.300003,100.400002,99.489998,99.790001
5/23/2016,99.18,100.129997,99.07,99.379997
5/24/2016,99.940002,100.760002,99.620003,100.190002
5/25/2016,100.82,101.980003,100.82,101.769997
5/26/2016,101.849998,102.370003,100.970001,101.5
5/27/2016,101.379997,102.110001,100.870003,102.019997
5/31/2016,102.150002,102.279999,100.57,101
6/1/2016,100.239998,101.379997,99.889999,101.129997
6/2/2016,100.400002,100.57,99.720001,100.529999
6/3/2016,100.650002,101.139999,100,100.660004
6/6/2016,101.339996,102.040001,100.919998,101.169998
6/7/2016,101.839996,103.699997,101.610001,103.32
6/8/2016,103.550003,104.080002,102.669998,103.089996
6/9/2016,102.040001,103.129997,102.029999,102.809998
6/10/2016,102.470001,102.970001,101.260002,101.980003
6/13/2016,101.5,103.099998,101.379997,102.099998
6/14/2016,101.760002,102.050003,100.519997,101.279999
6/15/2016,100.629997,101.639999,100.25,100.629997
6/16/2016,99.970001,101.260002,98.769997,101.07
6/17/2016,101.440002,101.739998,100.400002,101.57
6/20/2016,102.879997,103.400002,102.599998,102.610001
6/21/2016,102.690002,103.449997,102.269997,103.239998
6/22/2016,103.5,103.550003,102.190002,102.290001
6/23/2016,103.449997,104.449997,103.07,104.440002
6/24/2016,101.459999,103.010002,101.169998,101.900002
6/27/2016,101.25,101.400002,99.519997,100.360001
